id,name,geog,start,end,n,ProfileName
113,Smoking attributable mortality,District,2007 - 09,2015 - 17,9,Local Tobacco Control Profiles
113,Smoking attributable mortality,District,2007 - 09,2015 - 17,9,Co-occurring substance misuse and mental health issues
113,Smoking attributable mortality,District,2007 - 09,2015 - 17,9,Mortality Profile
91872,Deprivation score (IMD 2015),District,2015,2015,1,Local Tobacco Control Profiles
91872,Deprivation score (IMD 2015),District,2015,2015,1,Public Health Outcomes Framework
91872,Deprivation score (IMD 2015),District,2015,2015,1,National General Practice Profiles
91872,Deprivation score (IMD 2015),District,2015,2015,1,National General Practice Profiles (supporting indicators)
91872,Deprivation score (IMD 2015),District,2015,2015,1,Local Authority Health Profiles
91872,Deprivation score (IMD 2015),District,2015,2015,1,Common Mental Health Disorders
91872,Deprivation score (IMD 2015),District,2015,2015,1,Severe Mental Illness
91872,Deprivation score (IMD 2015),District,2015,2015,1,NHS Health Check
91872,Deprivation score (IMD 2015),District,2015,2015,1,Musculoskeletal Conditions
91872,Deprivation score (IMD 2015),District,2015,2015,1,Co-occurring substance misuse and mental health issues
91872,Deprivation score (IMD 2015),District,2015,2015,1,Cancer Services
91872,Deprivation score (IMD 2015),District,2015,2015,1,Mental Health and Wellbeing JSNA
91872,Deprivation score (IMD 2015),District,2015,2015,1,Physical Activity
91872,Deprivation score (IMD 2015),District,2015,2015,1,Child and Maternal Health
91872,Deprivation score (IMD 2015),District,2015,2015,1,Crisis Care Profile
91872,Deprivation score (IMD 2015),District,2015,2015,1,Diabetes
91872,Deprivation score (IMD 2015),District,2015,2015,1,Productive Healthy Ageing
91872,Deprivation score (IMD 2015),CCG,2015,2015,1,Local Tobacco Control Profiles
91872,Deprivation score (IMD 2015),CCG,2015,2015,1,Public Health Outcomes Framework
91872,Deprivation score (IMD 2015),CCG,2015,2015,1,National General Practice Profiles
91872,Deprivation score (IMD 2015),CCG,2015,2015,1,National General Practice Profiles (supporting indicators)
91872,Deprivation score (IMD 2015),CCG,2015,2015,1,Local Authority Health Profiles
91872,Deprivation score (IMD 2015),CCG,2015,2015,1,Common Mental Health Disorders
91872,Deprivation score (IMD 2015),CCG,2015,2015,1,Severe Mental Illness
91872,Deprivation score (IMD 2015),CCG,2015,2015,1,NHS Health Check
91872,Deprivation score (IMD 2015),CCG,2015,2015,1,Musculoskeletal Conditions
91872,Deprivation score (IMD 2015),CCG,2015,2015,1,Co-occurring substance misuse and mental health issues
91872,Deprivation score (IMD 2015),CCG,2015,2015,1,Cancer Services
91872,Deprivation score (IMD 2015),CCG,2015,2015,1,Mental Health and Wellbeing JSNA
91872,Deprivation score (IMD 2015),CCG,2015,2015,1,Physical Activity
91872,Deprivation score (IMD 2015),CCG,2015,2015,1,Child and Maternal Health
91872,Deprivation score (IMD 2015),CCG,2015,2015,1,Crisis Care Profile
91872,Deprivation score (IMD 2015),CCG,2015,2015,1,Diabetes
91872,Deprivation score (IMD 2015),CCG,2015,2015,1,Productive Healthy Ageing
92443,Smoking Prevalence in adults (18+) - current smokers (APS),District,2011,2018,8,Local Tobacco Control Profiles
92443,Smoking Prevalence in adults (18+) - current smokers (APS),District,2011,2018,8,Public Health Outcomes Framework
92443,Smoking Prevalence in adults (18+) - current smokers (APS),District,2011,2018,8,Local Authority Health Profiles
92443,Smoking Prevalence in adults (18+) - current smokers (APS),District,2011,2018,8,NHS Health Check
92443,Smoking Prevalence in adults (18+) - current smokers (APS),District,2011,2018,8,Musculoskeletal Conditions
92443,Smoking Prevalence in adults (18+) - current smokers (APS),District,2011,2018,8,Co-occurring substance misuse and mental health issues
92443,Smoking Prevalence in adults (18+) - current smokers (APS),District,2011,2018,8,Dementia Profile
92443,Smoking Prevalence in adults (18+) - current smokers (APS),District,2011,2018,8,Mental Health and Wellbeing JSNA
92443,Smoking Prevalence in adults (18+) - current smokers (APS),District,2011,2018,8,Child and Maternal Health
